Name,Brand,Ram,Rom,Display,Battery,Price,Website
realme 9i (Prism Blue,realme,4 GB RAM,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium ion Battery,15999,PhoneDB
realme 9i (Prism Black,realme,4 GB RAM,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium ion Battery,15999,PhoneDB
realme 9i (Prism Blue,realme,6 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium ion Battery,17999,PhoneDB
realme 9i (Prism Black,realme,4 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium ion Battery,16999,PhoneDB
realme 9i (Prism Blue,realme,4 GB RAM,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium ion Battery,16999,PhoneDB
POCO C31 (Shadow Gray,POCO,4 GB RAM,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,11999,PhoneDB
REDMI 9i Sport (Metallic Blue,REDMI,4 GB RAM,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,5000 mAh Li-Polymer Battery,9999,PhoneDB
REDMI 9i Sport (Coral Green,REDMI,4 GB RAM,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,5000 mAh Li-Polymer Battery,9999,PhoneDB
