Name,Brand,Ram (GB),Rom (GB),Display (cm),Battery (mAh),Price,Website,,,,,,
"realme 10 Pro 5G (Dark Matter, 128 GB)",realme,8,128,17.07,5000,22999,PhoneDB,,,,,,
"realme 10 Pro 5G (Dark Matter, 128 GB)",realme,6,128,17.07,5000,20999,PhoneDB,,,,,,
"realme 10 Pro 5G (Hyperspace, 128 GB)",realme,6,128,17.07,5000,20999,PhoneDB,,,,,,
"Infinix Smart 6 HD (Aqua Sky, 32 GB)",Infinix,2,32,16.76,5000,8999,PhoneDB,,,,,,
"POCO M4 Pro 5G (Yellow, 64 GB)",POCO,4,64,16.76,5000,16999,PhoneDB,,,,,,
"REDMI 10A (Sea Blue, 64 GB)",REDMI,4,64,16.59,5000,9200,PhoneDB,,,,,,
"REDMI A1 (Black, 32 GB)",REDMI,2,32,16.56,5000,7998,PhoneDB,,,,,,
"POCO M4 Pro 5G (Yellow, 128 GB)",POCO,6,128,16.76,5000,19999,PhoneDB,,,,,,
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",realme,6,128,17.02,5000,25999,PhoneDB,,,,,,
"realme 10 Pro+ 5G (Hyperspace, 128 GB)",realme,6,128,17.02,5000,25999,PhoneDB,,,,,,
"POCO M4 Pro (Cool Blue, 128 GB)",POCO,6,128,16.33,5000,19999,PhoneDB,,,,,,
"POCO X4 Pro 5G (Laser Blue, 128 GB)",POCO,6,128,16.94,5000,23999,PhoneDB,,,,,,
"realme C30 (Bamboo Green, 32 GB)",realme,3,32,16.51,5000,9299,PhoneDB,,,,,,
"realme C30 (Lake Blue, 32 GB)",realme,3,32,16.51,5000,9299,PhoneDB,,,,,,
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",SAMSUNG,4,64,16.26,6000,14999,PhoneDB,,,,,,
"realme C30 (Denim Black, 32 GB)",realme,3,32,16.51,5000,9299,PhoneDB,,,,,,
"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,6,128,16.64,5000,21999,PhoneDB,,,,,,
"vivo T1X (Gravity Black, 128 GB)",vivo,6,128,16.71,5000,18990,PhoneDB,,,,,,
"POCO M4 Pro (Yellow, 64 GB)",POCO,6,64,16.33,5000,17999,PhoneDB,,,,,,
"REDMI Note 11 SE (Bifrost Blue, 64 GB)",REDMI,6,64,16.33,5000,16999,PhoneDB,,,,,,
"Infinix Smart 6 HD (Force Black, 32 GB)",Infinix,2,32,16.76,5000,8999,PhoneDB,,,,,,
